sbd,toan,ngu_van,ngoai_ngu,vat_li,hoa_hoc,sinh_hoc,lich_su,dia_li,gdcd,ma_ngoai_ngu
1000892,7.2,8.75,9.0,,,,7.25,5.75,8.5,N1
38005345,4.6,7.25,3.2,,,,6.5,7.0,7.5,N1
19013065,8.4,9.25,8.6,,,,8.0,8.75,9.75,N1
33003674,9.2,6.25,5.8,4.75,9.5,9.25,,,,N1
19013178,7.8,8.5,7.4,6.75,5.25,6.25,,,,N1
17000183,5.8,7.25,4.4,,,,4.5,6.0,7.0,N1
18003475,5.2,7.25,5.0,,,,7.25,7.5,8.75,N1
49002871,6.8,6.25,7.0,,,,7.25,6.0,9.25,N1
1034115,6.2,9.0,6.4,,,,5.25,7.25,7.25,N1
28010042,8.0,9.0,8.8,,,,7.0,7.5,8.5,N1
7002728,8.0,6.0,3.6,8.5,6.75,5.75,,,,N1
57009348,5.4,6.5,4.0,5.75,4.0,5.75,,,,N1
47000831,6.0,6.25,6.0,5.5,7.0,7.75,,,,N1
2017491,8.2,6.5,7.0,5.5,9.25,9.25,,,,N1
55012170,7.4,5.5,3.6,,,,6.75,7.0,8.5,N1
22003649,5.4,4.5,,,,,4.25,6.5,,
26017993,5.2,6.5,,,,,7.5,8.0,,
18008995,2.4,3.75,,,,,5.5,6.25,,
32003676,6.6,8.5,5.8,,,,7.5,8.5,9.0,N1
46005649,6.6,7.25,3.4,,,,4.75,5.5,7.0,N1
2015393,5.0,6.5,5.4,4.0,5.0,3.75,,,,N1
28007225,3.6,7.25,4.2,,,,7.0,6.0,7.75,N1
15013376,8.2,9.25,8.2,9.25,4.5,6.75,,,,N1
55004879,6.8,7.0,5.4,,,,5.5,8.25,8.75,N1
3020332,8.0,7.0,5.6,7.75,2.75,3.5,,,,N1
28032099,4.6,8.0,,,,,5.25,6.0,,
28010322,4.2,6.0,4.6,,,,7.0,5.5,7.25,N1
12002132,8.4,8.25,6.0,8.25,8.5,8.25,,,,N1
8003765,4.8,6.0,,,,,7.5,7.0,,
48001927,7.8,7.75,5.0,6.5,7.0,5.0,,,,N1
35001421,6.8,8.5,5.2,,,,5.0,5.75,7.5,N1
24009361,8.4,9.5,8.4,6.5,7.0,8.5,,,,N1
29003849,4.8,5.0,3.2,,,,3.75,5.0,7.0,N1
2035304,8.0,7.25,7.8,8.25,5.5,3.0,,,,N1
46010109,7.4,6.0,4.0,4.75,5.0,7.0,,,,N1
9008215,6.6,6.75,6.2,,,,7.75,8.5,8.5,N1
2054596,8.6,7.0,8.0,,,,8.0,7.25,8.0,N1
14006182,,3.5,,,,,4.0,4.5,,
9002878,6.0,7.75,4.0,,,,8.25,8.0,9.75,N1
23008439,5.4,4.25,,,,,6.0,6.5,,
60002786,5.4,6.5,2.8,,,,4.25,7.25,8.0,N1
1083011,5.4,5.75,,,,,6.75,6.5,,
48004033,3.8,5.0,3.0,,,,4.5,5.75,7.25,N1
28025623,7.8,9.25,7.6,,,,4.75,8.75,7.75,N1
16011506,5.8,7.0,5.2,,,,8.25,8.25,7.5,N1
1027927,6.8,9.5,,6.5,6.75,7.0,,,,
49015154,7.6,6.75,6.4,,,,7.75,8.25,8.5,N1
24001362,5.2,7.5,4.0,,,,5.0,6.75,7.75,N1
38013574,6.8,7.5,4.4,,,,5.5,6.25,7.0,N1
1051800,7.0,8.0,,,,,7.75,7.0,,
15000955,7.8,8.75,8.4,8.0,9.25,8.0,,,,N1
2086939,7.0,6.0,7.8,4.0,4.0,7.5,,,,N1
1074383,7.0,5.75,3.0,7.0,7.0,4.25,,,,N1
33002554,7.4,6.0,5.2,,,,5.5,6.25,7.5,N1
1083046,8.8,7.75,4.8,,,,8.5,8.25,8.5,N1
25000013,8.6,9.5,8.0,,,,8.5,8.75,10.0,N1
29034706,6.0,5.75,4.6,,,,5.5,8.0,8.25,N1
1070526,5.4,7.0,2.2,2.5,3.75,3.5,,,,N1
57007827,7.2,5.0,5.2,6.75,4.25,5.25,,,,N1
23006409,5.4,8.25,2.6,,,,5.5,7.5,8.25,N1
26020887,8.6,5.5,3.2,8.5,7.75,7.25,,,,N1
1052277,4.4,7.0,,,,,4.25,7.0,,
61009011,3.8,6.75,4.2,3.75,5.5,6.5,,,,N1
32002247,7.8,5.75,8.8,8.75,5.75,6.0,,,,N1
1019056,4.2,5.25,,,,,5.25,5.25,,
22004164,7.4,6.0,3.2,,,,7.0,7.75,7.75,N1
43008525,5.2,6.75,5.0,5.25,4.25,5.25,,,,N1
34010603,7.6,3.75,5.4,9.25,4.25,6.0,,,,N1
34001464,7.4,8.0,6.6,6.5,4.5,5.5,,,,N1
50012171,6.0,7.75,4.8,,,,5.25,7.0,8.0,N1
2025193,8.6,7.75,9.6,9.25,8.0,7.0,,,,N1
25020212,7.8,8.25,6.0,,,,9.5,9.75,10.0,N1
8006059,4.4,8.5,3.6,,,,7.0,7.5,9.0,N1
28031752,5.2,8.0,4.4,,,,6.75,7.25,9.0,N1
1018698,8.4,8.0,9.0,8.0,6.5,6.25,,,,N1
55007439,8.8,7.25,5.8,8.0,7.5,7.75,,,,N1
48003738,7.2,7.5,6.6,7.75,7.25,8.25,,,,N1
